o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
807,1436,F,291066.38,1993-11-24,3-MEDIUM,Clerk#000000012,0,ic deposits. theodolites sleep deposits. quickl
832,290,F,75549.27,1992-04-19,5-LOW,Clerk#000000495,0, dependencies sleep slyly carefully regular pinto beans. furiou
833,553,F,53948.73,1994-02-13,3-MEDIUM,Clerk#000000437,0,posits. ideas use blithely slyly 
834,428,F,57631.12,1994-05-23,3-MEDIUM,Clerk#000000805,0,kages mold carefully. quickly pending packages boost slyly regular depo
835,649,O,79671.35,1995-10-08,4-NOT SPECIFIED,Clerk#000000416,0,"lar asymptotes. ironic, stealthy requests across the blithel"
836,688,O,103041.70,1996-11-25,4-NOT SPECIFIED,Clerk#000000729,0,y quickly final packages. even requests about the finally final foxes sle
837,1159,F,99107.47,1994-06-15,4-NOT SPECIFIED,Clerk#000000563,0,old accounts cajole above the silent accounts. d
838,164,O,119122.55,1998-01-29,5-LOW,Clerk#000000213,0,thely ironic instructions. e
839,280,O,109349.68,1995-08-08,1-URGENT,Clerk#000000951,0," blithely ironic dolphins maintain regular, regula"
864,1378,O,110290.44,1997-08-17,1-URGENT,Clerk#000000036,0,"regular pinto beans are carefully. regular, express pinto beans are car"
865,26,F,112126.26,1993-05-04,3-MEDIUM,Clerk#000000337,0,packages hang slyly blithely ironic excuses-- carefully ironic instructions 
866,383,F,5793.01,1992-11-28,3-MEDIUM,Clerk#000000718,0,oost slyly about the silent courts. sauternes
867,253,F,9271.15,1993-11-16,3-MEDIUM,Clerk#000000877,0,y foxes sleep enticingly 
868,1036,F,157914.01,1992-06-09,4-NOT SPECIFIED,Clerk#000000782,0,s. evenly even sheaves boost furiously. quickly 
869,1348,O,88458.72,1997-01-12,2-HIGH,Clerk#000000245,0,platelets for the quickly even notornis sleep fluffily regular platelets. 
870,322,F,60182.94,1993-06-20,4-NOT SPECIFIED,Clerk#000000123,0,slyly bold requests breach regula
871,145,O,265450.06,1995-11-15,5-LOW,Clerk#000000882,0,ly. blithely special foxes 
896,17,F,248402.10,1993-03-09,1-URGENT,Clerk#000000187,0,sly ironic packages wake regular decoys. regular deposits use along the q
897,490,P,88281.28,1995-03-20,1-URGENT,Clerk#000000316,0,symptotes cajole again
898,536,F,159708.26,1993-06-03,2-HIGH,Clerk#000000611,0,as haggle finally about the carefully sly fr
899,1085,O,165248.53,1998-04-08,5-LOW,Clerk#000000575,0,ackages alongside of the quickly regula
900,460,F,173555.09,1994-10-01,4-NOT SPECIFIED,Clerk#000000060,0,t accounts. slyly regular theodolites m
901,113,O,106041.48,1998-07-21,4-NOT SPECIFIED,Clerk#000000929,0,"ions. special, special packages sleep furiously final accounts. fluffily "
902,86,F,49777.81,1994-07-27,4-NOT SPECIFIED,Clerk#000000811,0,t along the blithely regular packages. speci
903,109,O,140726.26,1995-07-07,4-NOT SPECIFIED,Clerk#000000793,0,riously final packages. qu
928,658,F,315638.02,1995-03-02,5-LOW,Clerk#000000450,0,odolites are quickly pending
929,827,F,149145.44,1992-10-02,2-HIGH,Clerk#000000160,0,riously after the slyly regular ideas. furiously ironic instructions affix bey
930,1310,F,285619.42,1994-12-17,1-URGENT,Clerk#000000004,0,ests sleep alongside of the carefully express accounts. i
931,1030,F,170066.75,1992-12-07,1-URGENT,Clerk#000000881,0,"es. regular, final requests print around the fluffily special d"
932,404,O,57043.21,1997-05-16,2-HIGH,Clerk#000000218,0,"kages impress carefully bold, pending asymp"
933,955,F,106503.56,1992-08-05,4-NOT SPECIFIED,Clerk#000000752,0,dependencies cajole carefully regular requests. blithely final accounts s
934,514,O,18262.86,1996-07-03,1-URGENT,Clerk#000000229,0,nt pinto beans cajole slyly blithely careful fre
935,493,O,131247.01,1997-09-24,5-LOW,Clerk#000000180,0, detect. slyly even requests haggle quickly along the
960,347,F,84356.33,1994-09-21,3-MEDIUM,Clerk#000000120,0,the carefully final reques
961,551,P,248080.06,1995-06-04,4-NOT SPECIFIED,Clerk#000000720,0,uriously regular theodolites print
962,353,F,144898.54,1994-05-06,5-LOW,Clerk#000000463,0,along the even foxes! fluffily unusua
963,253,F,98613.54,1994-05-26,3-MEDIUM,Clerk#000000497,0," across the regular, final requests boost fluffily above the final d"
964,752,O,207649.97,1995-05-20,3-MEDIUM,Clerk#000000657,0, carefully. blithely final packages abov
965,685,P,44648.62,1995-05-15,5-LOW,Clerk#000000218,0,usly against the quickly bold ideas. final pinto beans cajole 
966,134,O,142557.51,1998-04-30,2-HIGH,Clerk#000000239,0,ironic packages ought to 
967,1099,F,236000.05,1992-06-21,3-MEDIUM,Clerk#000000167,0,osits sleep alongside of the pi
992,538,O,189842.36,1997-11-11,3-MEDIUM,Clerk#000000875,0,ids sleep permanently above the carefully i
