s_suppkey,s_name,s_address,s_nationkey,s_phone,s_acctbal,s_comment
32,Supplier#000000032,"uwCnX8y18u,zGadpgSQKHVP1F2fxK",23,33-484-637-7873,3556.47,inments. silently final pinto beans among the 
33,Supplier#000000033,"LLMgB3vXW,0g,8nuv3qU3QZaEBZvU2qRLX9",7,17-138-897-9374,8564.12,"l packages cajole unusual, final packages. slyly express requests"
34,Supplier#000000034,F29MXhwqYcXFfWjKungGH b6nceg9o9B03BR,10,20-519-982-2343,237.31,al packages wake blithely. quickly express accounts cajole packages. final ideas haggle 
35,Supplier#000000035,"btEEk4uH55bVcxqqo355 x0WMmrK6,bOU",21,31-720-790-5245,4381.41,lyly above the furiously ironic attainments. pending dugouts was quic
36,Supplier#000000036,Fs8BpqhwPHOuX6g84XPfmMv9nUSnRZGqoSTS,13,23-273-493-3679,2371.51,"ithely even pinto beans. bold, express pinto beans according to the carefully r"
37,Supplier#000000037,PAHtpWJZD5,0,10-470-144-1330,3017.47,deposits. furiously ironic dolphins after the slyly even accounts haggle against the excuses. 
38,Supplier#000000038,"vmOuWWwn,l4j7TOSEw4l3",4,14-361-296-6426,2512.41,inst the slyly final pinto beans. carefully un
39,Supplier#000000039,"2e0rD92Bmb5 ZtqmjQoR,AHlOJHHM6WMj",8,18-851-856-5633,6115.65,"ts. special, final requests along the thinly regular accounts are across the bold pac"
40,Supplier#000000040,ttiM4tPPBG85XTwFZDE8lpu8KOYgB,22,32-231-247-6991,-290.06,ress deposits affix blithely ideas. final
41,Supplier#000000041,lrZlgk9WXVsveglFty,18,28-739-447-2525,6942.67,ss courts: blithely ironic excuses might haggl
42,Supplier#000000042,",2VFvnKBMXIYwP6q2HX8wfJgUZhFvmfyno",22,32-698-298-6317,6565.11,egular ideas haggle. furiously ironic acco
43,Supplier#000000043,2VEfxrC76mNg2VwZY5DDrWnSTrCUHlZfwe2EF3SJ,12,22-421-568-4862,7773.41,y regular deposits-- requests in
44,Supplier#000000044,Hm9uFgnDFi2hNdUVsqbjHFtf,7,17-713-930-5667,9759.38,even deposits. furiously e
45,Supplier#000000045,"gOgDzRS3kyjc,429pTJGd jr Es9KZ",9,19-189-635-8862,2944.23,"ndencies detect quickly unusual foxes. special, "
46,Supplier#000000046,"N,6964Lnc2fNgMZV1VJV9ye9PtkE7z1nYOHRB",24,34-748-308-3215,3580.35,d somas use around the furious
47,Supplier#000000047,Y3eZu1bOuAw0jgW4dFKPE1ePfKpjfq,14,24-810-354-4471,2958.09,"nd the packages; final, pending dependencie"
48,Supplier#000000048,"IK,6rmdbeaoxtxgx7Df34QfLX5FUcyddqUEbF4h",14,24-722-551-9498,5630.62,ecial excuses detect blithely. slyly regular requests 
49,Supplier#000000049,ewArUFQOlWlyhws,24,34-211-567-6800,9915.24,"thely bold packages. final, pending instructions nod? even requests above the regular, "
50,Supplier#000000050,AkCPA9ee2s0n  bKok8,9,19-561-560-7437,4515.87, furiously special ideas; regular dependencies wake furiously someti
51,Supplier#000000051,"AnGp3Q,ZbcjgHcvAIHUYyeScW",9,19-475-537-1368,7241.40,ording to the ironic accounts: express deposits nag daringly. slyly ironic packages grow daringly q
52,Supplier#000000052,5oGr3pj2sprZNwho8CFW2haaObd0,19,29-974-934-4713,287.16,arefully silent pinto beans use furiously furiously even deposits. regular packages are furious
53,Supplier#000000053,JRwXrnz2oLggl6UciySIJJpcjqpXTtaTPXkoT9y,7,17-886-101-6083,6177.35,fully pending accounts. packages 
54,Supplier#000000054,iZz04vPVBK,12,22-966-435-7200,2733.69,ake quickly foxes. deposits boost furiously. carefully final packag
55,Supplier#000000055,dAN28JcaMkXMkIUYU7H,24,34-876-912-6007,7162.15,"al requests after the blithely express ideas affix carefully above the express, ironic "
56,Supplier#000000056,M65yF75QFrlIjpcy2C6as3aRdMdfa9YkF,16,26-471-195-5486,-632.16,"fully final accounts. even accounts across the thin, final notornis are slyly"
57,Supplier#000000057,"Qm4A6699rL0FPYC,S2",17,27-681-514-6892,-831.07,entiments boost. blithely regular fo
58,Supplier#000000058,"0,Nmqoi1Co7f13K",16,26-659-969-5586,92.44,d the fluffily even ideas. slyly final requests are quickly furi
59,Supplier#000000059,eSFgP3HeD5GmjE7c9EpKzfI3SA hu,17,27-249-395-9123,586.16,s impress furiously along the blithely ironic deposi
60,Supplier#000000060,"PP,SDzn7q9DWT4EEpO23y",8,18-550-360-2464,4515.80,y regular requests. final ideas a
61,Supplier#000000061,"ds,eZBp9Ri",8,18-396-489-9719,6096.58,the quickly bold foxes. slyly ev
62,Supplier#000000062,Q8EFl36gpMazAhuwoRrs9UuBlOmLVHe7P,19,29-603-653-2494,9202.57,egular packages. fluffily regular dolphins along the furiously sly packages integrate aro
63,Supplier#000000063,"eF5,cbtiCbxbGvVr2x4kDE30JLAEZ",5,15-781-401-3047,5742.03,"y. regular, special deposits integrate furiously unusual deposits. unusual, ironic dolphins"
64,Supplier#000000064,"wS,hHEibrFlCfN6I9xyPxSZKkGAAB4XbapMdy826",24,34-278-790-7004,1309.70, furiously ironic accounts wake against 
65,Supplier#000000065,qzqDj7E8lqABBg f,22,32-444-835-2434,-963.79,regular asymptotes wake furiously furiously ironic packages. ideas sleep above t
66,Supplier#000000066,B2N xmhah23IgwDe5E2Lp5tN5qSPO41q406V8c5X,23,33-300-836-9529,2455.98,uests cajole blithely across t
67,Supplier#000000067,U2 mgiDOjlHVnr4U1QALr35,4,14-563-538-1657,3576.55,arefully pending accounts sl
68,Supplier#000000068,7MUdV0wjYowmWbbL7kfERy0IPl22FnDcPXubvyKP,21,31-267-327-4328,5119.38,ronic notornis: furiously silent theodolites sno
69,Supplier#000000069,8YnFR1LRTMYXXM9yeIYss,4,14-491-707-8310,8466.50,nusual packages wake furiously. furiously ironic frays along the quickly regular deposits bo
70,Supplier#000000070,jd4djZv0cc5KdnA0q9oOqvceaPUbNloOW,6,16-821-608-1166,9508.37,"n instructions are about the ironic, ironic excuses. instructions cajol"
71,Supplier#000000071,3lCSQETbUvJra,1,11-743-919-7272,8179.68, the quickly even ideas. accounts alongside of the even dependencies detect ruthlessly acr
72,Supplier#000000072,FgBqhDHyQvHYQFA6Wr1mQhXbjYvL2AurqeSAkAZ,18,28-113-898-6643,7014.50,ccounts. blithely bold deposits use carefully ironic
73,Supplier#000000073,kp1qZejw zwaou78HKrV4 L8clKe9geoMYCxm,16,26-758-310-7496,3793.13, along the instructions. dep
74,Supplier#000000074,yeXt5WdcOUQVvdNCulURp4rSaxnuAwhxP9hzq,20,30-166-486-1559,4170.51,ully about the even packages. blithely regular dependencies across the even platelets play daring
75,Supplier#000000075,ULXKdX bZFJwii,18,28-716-704-8686,-224.84,platelets cajole. sentiments 
76,Supplier#000000076,ipJ8pRXOf2xdKj63y6jEzmoon,14,24-228-763-7840,2971.10,ending foxes wake carefully blithely express accounts. final accounts u
77,Supplier#000000077,"w5yO 0yjXou 8I4ffzADq,R8tD06x1vbeMpLJF2",7,17-281-345-4863,4186.95,ainst the blithely ironic packages poach at the regul
78,Supplier#000000078,StXc1Zo5rJl z avspT5Ys7ytLj5jFlX8nUu s,5,15-670-998-6860,1044.10,ccounts. evenly express deposits between the blithely pending instructions unwind regular ideas. bl
79,Supplier#000000079,"C,xXyty836oYhSwmLfdlegz 9awTAt7y7p7r",14,24-402-227-9600,1191.94, slyly. quietly slow instructions around the furiously ironic theodolites are am
80,Supplier#000000080,PhYej9mhZXAifY4IXnVIVJ9CX011Id73JAD,21,31-646-289-1906,-40.45,"ring, even sentiments are. evenly even ideas wake fluffily blithely ironic packages. even platelets"
81,Supplier#000000081,"9fFQOQJKBgF5Q0KmXzQ2xZYM,",12,22-535-310-6971,166.32,ven pinto beans run furiously. deposits use carefully across the slyly blithe packages. car
82,Supplier#000000082,5t7gqU1BlZWyZQoeF7X,18,28-177-572-9691,-724.31,e ironic accounts. furiously even accounts inside the reque
83,Supplier#000000083,"59h6GtoD,V0 M5sWTCqLAPoxv",14,24-529-559-2461,1467.77,ccounts are fluffily? blithely pending packages should haggle furiousl
84,Supplier#000000084,"oO2H4fI1kaBmgchJWvqEj5,SIHu",24,34-869-118-7803,4780.93,ironic warthogs. carefully final dependenci
85,Supplier#000000085,pGFzRayFsg9l,7,17-167-806-8199,7174.74,"ckages. express requests haggle busy, regu"
86,Supplier#000000086,iZLKKWaQADe,19,29-903-665-7065,1883.37, foxes boost after the carefully silent asymptotes. slyl
87,Supplier#000000087,5ovT6anHSsD1TyApXOBEU,24,34-860-229-1674,4746.66, beans are silently idle requests. regular deposits above the requests slee
88,Supplier#000000088,uczJ2TvvseL8,11,21-191-938-9469,3086.13,dugouts haggle slyly deposits
89,Supplier#000000089,MJys1P8C JyNZ,9,19-259-876-1014,1638.02,gular theodolites. deposits after the regular deposits 
90,Supplier#000000090,QbmU6KsZLYFXKv8le D9z0K0XLAXT WGuKBKAzzZ,6,16-380-123-9217,6201.77,pinto beans. blithely final re
91,Supplier#000000091,35WVnU7GLNbQDcc2TARavGtk6RB6ZCd46UAY,3,13-604-986-9056,6255.87,pending pinto beans after the silent accounts boost fluffily quickly regular i
92,Supplier#000000092,"EWS4tXaiXFFFS7Y,T G",2,12-701-432-8346,2470.84,"sits unwind blithely. even, final gifts wake furiously of t"
93,Supplier#000000093,wNZNHIg370XspE,16,26-528-528-1157,368.76,instructions mold slyly special dolphins. quickly regular instru
94,Supplier#000000094,"Gg0BfcHqe5lhc3dT,sb1ydaHBpJFIm",4,14-728-888-8882,2766.80,s are fluffily. bold accounts dazzle blithely regular packag
95,Supplier#000000095,CYrYJqLjV7o,19,29-142-539-1403,2588.83,iously special packages integrate. finally pendi
96,Supplier#000000096,gPuBX5iIBtNrCYv2EMZISIhu0v7yZeC,12,22-888-654-7193,3437.24,ously quick deposits. furiously bold requests along
97,Supplier#000000097,f oaJRYkUDO3ZLBVoq,4,14-618-678-1789,6642.22,riously even pains. quickly special depende
98,Supplier#000000098,DKjDSOB3pVb,21,31-914-775-1978,5873.07, to the unusual accounts. carefully ironic
99,Supplier#000000099,"X8uG7kkYSD2 y7,1eD5lSj",18,28-272-909-1617,3671.34, deposits sleep. quickly sp
100,Supplier#000000100,AiFdrGISsw5YYFY FPOusmobWMf,21,31-351-324-5062,3191.70,"refully final, regular accounts. permanently ironic platelets wake blithely along the f"
